"","text"
"1489","usefull   membantu"
"1490","good"
"1491","bagus  n obat   informasi  aasi      kontak bantuan  langsung  nomor resi   mengecek irimannya"
"1492","membantu banget   emi"
"1493"," n obat via halodoc  obatnya nyasar  iriman   halodoc  hubungi k ak  bantu  follow uatnya berbelit  tanolusi  berkali  alamat  sesuai    elian  ama kali cs nya   hel"
"1494","proses refund berbelit belit"
"1495","aasi  mudah "
"1496","resya cedan irimannya cepat"
"1497","sayangnya  akun halodoc dana ga  dialihkan  rekening bank  go tolong dibantu asalahan "
"1498"," membantu  berguna    hidu desa  beli obat online "
"1499","solusi ceuntuk menghubungi dokter  membeli obat dokter tersedia jam    resetuk dibeli langsung"
"1500","nice res dokter nya cebls  ramah"
"1501","very good app"
"1502","best awhen you in need of dire consultation"
"1503","so good"
"1504"," membantu  darurat chat dokter sgt informatif obat cesampai"
"1505"," membantu dikala urgent sakit  blm bs langsung  dokter"
"1506","mantaapp"
"1507","cepat"
"1508"," membantu dikala sakit  gak  kemanamana"
"1509","eror bayar i wallet halodoc ribet aasi lemot obat yg  dicover asuransi eror    cek out setahun    i halodoc mengecewakan trnyata smskrg blm  aikan"
"1510","kee the good work"
"1511","rescedan "
"1512","good service will use it again"
"1513","terima kasih  berguna  "
"1514","aasi   membantu utk mendaan informasi  saran dokter  kondisi yg sakit shg  diambil langkah  sbg bantuan  sblm dibawa  rs"
"1515","cedan gak ribet"
"1516","layanan cedokternya bagus"
"1517","good avery hel"
"1518"," membantu good"
"1519","nge lag h liat han cek covid ga muncul ue t lbh jelek"
"1520","helly"
"1521","terbantu sekaliterima kasih"
"1522","halodoc always saves the day "
"1523"," membantu  agi  situasi covid sei "
"1524","overall ok minus obat  direse    tersedia"
"1525"," terbantu  berkonsultasi  dokter  ediaan obat  aasi halo doc"
"1526","dokter  fast respon"
"1527","good"
"1528","pelayanan cepat"
"1529","membantu  dokter ramah  mnejelaskan  "
"1530"," dokter nggak  live chat biaya yg  ditarik nggak  murah sih  tarifnya tn    untungnya dokter alternatif  jd  hannya thx halodoc"
"1531","customer service   membantu"
"1532","good apps"
"1533","mantap"
"1534","dokternya  dgn   mudah dimengerti"
"1535","daridulu seneng    gak ribet ralat bisabisa nya nan dibatalin taink va    udh masuk dananya  disuruh ngulangin edur dr    refund belanja  orang sakit nungguin obat ribet"
"1536","error loading messages  notifikasi yg muncul internet  aman aasi sdh ng terue gosudah terng tetaidak  chat  dokternya  masuk chat room tetaaat send chat nya langsung   muncul notifikasi     berulang  unya taari cs nya disuruh menunggu x jam worst exer"
"1537","not customer oriented dokter balas   sesi  tanahu kesimn  obat yg  diminum kontak customer service  disuruh ya konsul  aja its not about the money tats unfinished service"
"1538","good"
"1539","mantap"
"1540","one stoalth solutions"
"1541","mantaap"
"1542","bagus tis bermanfaat tdk u keklinik  rumah sakit    sakit"
"1543","easy to use"
"1544","terima kasih utk dr salis kulit dr jessica tania layanan cedan  mudahan anak  cereda jerawatannya"
"1545","dokternya  fastres obatnya  langsung  kasih ayaran  mudah "
"1546","dokter mata cynthia sgt membantu  resive pengiriman obatsangat cediterima mantul"
"1547","  berguna  membantu  "
"1548"," membantu klo lgi urgent butuh  konsultasi kesehatan"
"1549","terbantuuu "
"1550","siembantu  kondisi urgent"
"1551","baikinformatif"
"1552"," membantu   membelikan obat  anak yg  sekolah  kota"
"1553","transaksi  debit  chat  dokter taokternya  aktif  dibatalkan otomatis keterangannya embalian dana  otomatis masuk menunggu   kerja taamham    embalian   menyesal mengggunakan aplikasi "
"1554","package ok pengiriman ce mantaank you halodoc"
"1555"," membantu  memiliki keluhan akit  konsultasi  dokter nya langsung "
"1556"," membantu  mencari obat diwaktu urgen  ga   rumah harga kadang  mahal taasih wajar taadang  murah  konsultasi dokter online  membantu  harga konsultasi  murah  ribuan"
"1557","good easy to use"
"1558","hell    sakit  malam halodoc siatar obat dr ak  jam"
"1559","kesulitan menemukan tombol   feedback  dokter yg  dihubungi sisanya ok"
"1560","solusi dokter dimasa emi"
"1561","i like this acation since there is on to choose instant delivery in  minutes"
"1562","ok  harganya leboh terjangkau dr aasi "
"1563","puter kota solo  jogja cr obat   kf ato k g nemu obat yg  tgl klik halodoc  lsg kirim terimakasih halodoc skrg g u r cr obat tgl idulocation maiver didaan  lsg krm smujuan"
"1564","    i kemudahan masuk nya mudah  menurutku    ditingkatkan  amn informasi  konseling   bingung   konsultasi  coba telekonselornya tetaidak diangkat    konselor bilang   menerima televideocall  sisiitu  kecewa   taman informasi      booking   ditingkatkan  informasi layanan  diterima konselor"
"1565","exelent"
"1566","   cek ak  dituliskan  ak    ocustomer  cariambil obatnya  ala ak nya dirasa    diambil  kurirojol nya"
"1567"," susah bernavigasi   shog cart taerhasil jg konsul  beli obat sesuai resegital"
"1568","wrong order sent told consumers to wait u x hours but to no avail the lem is in the acation and catalog view bastard return my money "
"1569"," kebutuhan   membantu  konsultasi  ala durasi chat konsul  dokter   han  en     lg  baiknya konsul chat  biaya rb keatas durasi konsul  dibataskan    konsul membutuhkan   mengetik  take   balasan dokter blm  ce attachment foto dokumen tolong ditingkatkan  krn   crash klo ditmbah attach vidvn    memudahkan berkonsultasi"
"1570","good dokter"
"1571","mantawaaaaa"
"1572","ribet layanan cs  lambat   normatif tna elesaian yg  membantu"
"1573","mudah  gunanya"
"1574","cet bgt"
"1575","ga  konsul ud byar"
"1576",""
"1577","unsolved bugs since weeks ago cant search medical services"
"1578"," coba halodoc so far  ku memudah bgt   konsultasi dgn dokter via chat samkan elian obat jg  maju  utk halodoc"
"1579","goodss"
"1580","very hel and user friendly apps"
"1581"," membantu ramah  informatif"
"1582","good"
"1583"," membantuuu"
"1584","good"
"1585","driver   dihubungi  bawa i obat   lunas dibeli"
"1586","great ui ux"
"1587","bolak  dicancel order  n obat sesuai resealau  ga siastan gt mending realistis aja sih drutuh gn smlak  cancel"
"1588"," cari test covid kenaoading  ga  hasil ariannya   ue apps"
"1589","membantu sekalii disaat urgent terima kasih"
"1590","good apps"
"1591"," membantu konsultasi  dokter n obat  instan terima kasih halodoc semoga  ditingkatkan  yanannya  iriman obat  instan  "
"1592","good aation"
"1593","user friendly"
"1594","konsultasi mudah  cukumbantu"
"1595","overall  membantu tairiman   gojek dimana layanannya  bagus   oiriman    obat samdi temdah  hilang"
"1596"," ue terbaru arian     ditunggu  menit gak  aaunanya diue"
"1597","fastest rese easy to use two thumbs up"
"1598","cant even login got the code and working internet connection but it always says no internet connection tried again it changes to exd code although the timer hasnt exd yet"
"1599"," mantalodoc bs dicover asuransi "
"1600","mantap"
"1601","the uiux is the best halodoc hele a lot looking for online hologistshiatrists"
"1602","good  membantu disaat mager"
"1603","terima kasih  mudah  aasi halodoc "
"1604","very hell"
"1605","dokter slow resjawaban seadanya"
"1606","fast delivery"
"1607"," membantu"
"1608"," membantu   aasi  "
"1609","tolong aiki bugs  ent  gopay"
"1610","hell nice doctor easy to get medicine"
"1611","very nice exence"
"1612","laian  dr   berdasarkan bintangjgn berdasarkan like or dislike"
"1613","nice consultation"
"1614"," mudah memesan obat   konsultasi  mudah murah  bermanfaat thx halodoc"
"1615"," membantu disaat terdesak  mendadak"
"1616","the doctors are very hel thanks halodoc i can consul with doctor anytime"
"1617","good"
"1618"," membantu"
"1619","useful"
"1620","very usefull a"
"1621","nice"
"1622","good"
"1623","good app"
"1624","hel"
"1625","good app"
"1626","easy to use"
"1627","beli obat yg  rese  bayar  konsultasi gratis tarror  error loading message"
"1628","konsultasinya cedan cukumberikan gambaran nganan terhadandisi kesehatan   "
"1629","aasinya  membantu"
"1630","so far  memudahkan  konsultasi tanarus dtg  dokter   ak"
"1631"," bayar  konsultasi  dokter tagebug gak  dii error loading message samberakhir h"
"1632"," membantu cukuektif  efisien"
"1633","awesome"
"1634","sangattttt membantu akses terhadakter jd affordable  desega tis the best dah halodoc thank u for being a blessing for les lives"
"1635","aplikasi jelek  sedikitpun direkomendasi  digunakanuntuk alian menyuruh  hubungi call center  ngabisib a  knya   merekomendasikan aplikasi   "
"1636"," membantu  memudah"
"1637","praktis  mudah  halodoc jd olongan ama  sakit  agi bs dihubungkan dgn asuransi profil dokternya  detil terimakasih halodoc"
"1638","best"
"1639",""
"1640","membantu   butuh konsultask cedokter  hel aasi stabil terima kasih "
"1641","good ao find medicine within city "
"1642","good app"
"1643"," membantu"
"1644"," membantu  n obat pcr  konsultasi dokter  "
"1645"," membantu   berobat tairumah aja"
"1646","semoga kedeya   obeli  bbrotek krn kalo chat  doctor  mesen obat suka  yg losing maybe kalo  h lokasi ak   lengkali obat yg diresedokternya"
"1647","hallodoc  membantu   konsul dokter mauuntuk elian obatvitamin"
"1648","this aeally helyou are able to consult with a real doctor trough this app"
"1649"," membantu"
"1650","  recomended   lambat mengatasi    anak  sdh butuh bgt obat  mlm "
"1651","simlengkaod taembayaran  gosuka gagal u coba beberaali semoga dadiaiki"
"1652","resif  akurat"
"1653","the best healthcare ao far i had my first consultation at  and order my medicines at  and got them at  thank you halodoc"
"1654","oke "
"1655","mudah resya cedan lumayan  terima kasih"
"1656","cool"
"1657"," bermanfaat   sakit covid   konsul dgn dokter yanannya bagus  setiaya butuh beli obat an  beli  ahalodoc  cinta banget  aini"
"1658","pelayanan konsultasi dokter  online  terbantu dokter nya  informatif alhamdulillah  terima kasih "
"1659","sakit ga u  klinik cukuka aasi aja"
"1660"," tersambung  aasi insurance   membantu"
"1661","nunggu obatnya dikirim berjam jam"
"1662","the chat feature can give me the iminary exam on my wound if it goes bad then i can decide to go to hosl to see the doctor"
"1663"," membantu  sakit  malam weekend  libur nasional  lg males ngatri berobat  rs or klinik"
"1664","very good aation"
"1665","aasi busuk uang nyangkut  kesalahan aasi elian dibatalkan toko es rikan   belom cair"
"1666","pesan obat  ak  dibatalkan sek  ak  urus refund taagal  gak  fitur chat utk konfirmasi  nggan  ak"
"1667","membantu      keamanan obat  dokter "
"1668","pelayanan cepat"
"1669"," membantu disaat urgent mautidak  solusi  saran  dokter god bless orang "
"1670","berguna    semi  dokter"
"1671","menu bantuannya menyebalkan dir  robot"
"1672"," membantu"
"1673"," membantu terima kasih"
"1674","gila sih tmbh baguss"
"1675","user friendly"
"1676","rescepet"
"1677","mudah ce mantaaap"
"1678","makasih halodoc terbantu banget "
"1679","quick pt"
"1680"," bermanfaat  membantu "
"1681","very hel agi   emi bgini bs connect jg  insurance klo utk keluhan yg common utk konsul  dokter aasi  sungguh menghemat   tenaga cocok utk olongan ama  saran aikan mgkn  menu dokter u  menu koreksi reseg  en tdk menemukan  obat yg tersedia  ak    diganti dgn obat seruleh doktr  bs mengedit reselm chat  thx"
"1682","bermanfaat  membeli obat utk orang   sayangi waladalam kondisi jarak "
"1683","dokternya alan enak diajak diskusi"
"1684"," membantu  mudah "
"1685","mantap"
"1686","ngehang terusssss   ditengah konsultasi rugi gw udah bayar develobalikin duit gw fix this"
"1687",""
"1688","layanan terbaik"
"1689","good and useful apps"
"1690","fast"
"1691","access  dokter cepat"
"1692"," membantu  membeli obat     ak  rumah taengiriman instan   mnt "
"1693","hell app"
"1694","dokternya   berkomn"
"1695","hel"
"1696"," bgt konsultasi  dokter  halodoc ramah dokternya   kasi resegital cocok bgt  sy yg a anak  thank u halodoc"
"1697","dokter good rese hell"
"1698","really hel moreover during emic  thank you"
"1699","good"
"1700","sdh beberaari ayaran  gagal  beli obat virtual account maudebit pake fitur bantuan jg sia yg  bot  manusia  sy  beli obat  halodoc   gini ya"
"1701","sometimes rather slow"
"1702","praktis  efektif"
"1703"," delivery obat  kaian audah"
"1704","fitur konsutasinya bagus taayang kadang nebus obat  aasi  sulit n beberaali batal    coba beberaetode ayaran lumayan  uang  ribu nyangkut  halodoc    diuangkan "
"1705","grateful"
"1706","aasi halodoc  membantu  mebutuhkan obat darurat agi   berjauhan dgn keluarga jd  bs mengirimkan obat darimana   terdaketidaknyamanan yg sy rasakan   tdk bs memilih ak terdekat dgn temtujuan    menunggu   ak yg dih   mgkn bs dikembangkan olihan ak terdekat   bs menyesuaikan kebutuhan obat yg tersedia  ak terdekat"
"1707","unreliable ner and their customer service doesnt have cality to solve the lem"
"1708","its really good and convenient"
"1709","dokternya  fast resdi kasih rese  harga terbaik driver yg antarnya  ramah  bilang  cesembuh ya bu  moodbooster banget"
"1710","fast rese"
"1711","membantu dikala  bingung ga bs kluar rmh utk nyamn dokter"
"1712","first imsion is great"
"1713","dokter  ramah  "
"1714","pembayaran ganda  rumah sakit   aasi   elesaian   minggu aasi android ama yg bermasalah   ayaran aasi u aikan   konsultasi  dokter"
"1715","bayar i bca virtual account ngga "
"1716","very hel"
"1717","koneksi aasinya ngga stabil error uding messages  sy coba beberaali chat dokter gagal  tsy  keng  utk tarif dokternya ngerugiin banget  tarif ayaran ding  konsultasi berhasil donk "
"1718"," membantu"
"1719"," membantu dikala darurat  siana digital gojek linkaja"
"1720","hell"
"1721","would give  star but aeeading va"
"1722","mantab"
"1723",""
"1724","memudahkan konsultasi  dokter  biaya  terjangkau   han dokter"
"1725","error   salah   browse uk medis"
"1726","hel fast rese dokternya  very user friendly "
"1727","very hel kalo anak sakit  tgl merah   minggu suka bingung terbantu banget   halodoc cari obat  gak susah   ojol yg nganterin puas banget knya"
"1728","bagus"
"1729"," seller canceled order  uang  otomatis refund  chat      buatkan lan   kerja    refund  gak kom ya  yg ga balek kl dr alaman   aasi "
"1730","tolong es claim asuransi manulife rawat jalan cashless diaiki nunggu  rs  jam    k asuransi "
"1731","  bug   n salegal   es loo mohon diaiki "
"1732","u"
"1733","easy and hel"
"1734","good "
"1735","very hel a thank you"
"1736","should have a menu where we can download doctor diagnosis for reimbursement ess edit adding  star because cs customer centric attitude"
"1737","i have been trying to order the usual meds for my mom and dad for days and it keeiving me error messages chat box is useless as i couldnt get any answer for hours as well  fix your app"
"1738","terbantu "
"1739","swift service and delivery"
"1740","mantap"
"1741","good apps"
"1742","pilihan lokasi ak nya kerali   lokasi "
"1743","dokter ny g ramah aasi ng bug"
"1744","good"
"1745","delivered in  minutes good job thank you"
"1746"," membantu "
"1747"," coba  beli obat tebus resekter cebgt  bener nyaman dii alhamdulillah ketemu aasi yg  membantu  kee ulodoc"
"1748","alhamdulillah bermanfaat bnget"
"1749","thanks so much halodoc  membantu utk konsul dokter  beli obat gak bs   rumah semoga bernilai la utk develonya"
"1750","ok banget"
"1751","aasi yg terhubung dilayanan wa ngak   mencurigakan   data adi  bersifat  rahasia"
"1752","ngebantu banget   dokternya  obatnya"
"1753","  kaun"
"1754","bu dokter sabar bget melayani sy sekaliada sdkt g m tnjelasan ya  detail  ditangkan org awam sy mksh dok"
"1755","membantu  kalo  urgent  dokternya  oke"
"1756","easy and very useful"
"1757","   konsul nya"
"1758","  coba tah  ka konsultasi batal  dokter sibuk tng gak langsung direfund  gak  langsung dii reschedule  dokter   to  udah   cs  tunggu    tetak darefund disuruh menghubungi bank rbitnya i kode arn   niatnya i layanan online tuh biar hemat   tenaga  ujungnya   yg ngehubungi bank ya  aja caya dah  ikhlas aja duit rb ilang "
"1759","good"
"1760","its okay"
"1761","praktis"
"1762"," terbantu  beli obat bulanan  konsul"
"1763","dilayani  ce terima kasih halodoc"
"1764","good"
"1765","good a very hell"
"1766","pengiriman obatnya skr  cetelevonsul nya jg enak taekurangannya cuman susah   sharing gejala   dokter  terima  chat"
"1767"," membantu terimakasih"
"1768","best apps"
"1769"," elian obat  toko kesehatan u obat buru beli  tgl merah  datengnya cebanget bagus"
"1770","hel"
"1771","nice aisa konsultasi  dokter teraya  daresekaligus  diantar  rumah"
"1772"," order obat i virtual account  bayar berhasil    aasi orderannya hilang cek  riwayat    ayaran berhasil  ngak  refund "
"1773","nan obat  samdan yanan keluhan  buruk  obat  direse  urgent   membeli  aasi"
"1774","aasi   diukan   sy   i jasa halodoc  membeli obat  vitamin  bbrli mencoba konsultasi online dgn dokter jg  membantu"
"1775","terimakasih"
"1776","n obat seharian ga dikirim udah butuh banget  dibalas  bantu batalkan  babisa beli "
"1777","trimakasih solusi sehat  efektif  efisien yaa  halodoc"
"1778","usefull and bendy"
"1779","bad service yanan lambat lihan ak     lokasi iriman"
"1780","puas  advise dokternya"
"1781","very hell ato get doctor advise when in emergency condition"
"1782","so bad"
"1783"," membantu "
"1784"," membantu    males antre  dokter  "
"1785","this aeally helme im so thankful in this occasion"
"1786","great"
"1787","cebanget resbaik"
"1788","dokternya terbaik fast resjuga"
"1789","praktis"
"1790","aangat membantu"
"1791","sgt membantu  u adoker  darurat mudah  cepat"
"1792","loading "
"1793"," membantu  konsultasi  mudah kaun  dimanaemat   dokternya  membantu  sei  konsultasi tatakaes cebat  diantar samrumah cukununggu  jam  kesekian kali i aasi    emi  khawatir utk  rumah  rumah sakit dgn kerumunan orangthanks halodoc"
"1794","hell"
"1795","user friendly"
"1796","salah  obat yg  dibeli    n  digubris  adminnya"
"1797","very easy to use great app"
"1798","how to give tir credit to courier  driver "
"1799","mantab"
"1800","hell"
"1801","goops"
"1802","fast ressekali dokter  chat   membantu setiansultasi  ak yg terkait  ceirimannya tersambung  dgn asuransi mantab terimakasih halodoc"
"1803"," membantu"
"1804","from consulting via chat with doctor to medicine delivery everything went very smooth delivery only took about  minutes good job halodoc for iding good service"
"1805","hell"
"1806"," kenai halodoc dr   batalin mulu refand lamaaa "
"1807","berguna "
"1808","aasi mudah  memudahkan good job"
"1809","betah i halodoc mudah    membantu"
"1810","  n obat  halodoc  aasi obatnya tersedia taetelah ojolnya  ak  obatnya kosong     n obat  halodoc   ojolnya  ak k aknya bilang harga obat  halodoc  harga obat  ak berbeda"
"1811","membantu"
"1812","membantu   jarang  rumah  hidundiri"
"1813","hel banget  mencari tau akit   mendareseat  sesuai  keluhan   cedan teedbd"
"1814","bagus banget aa dokternya  cekatan  fast resbanget"
"1815","worst service ever i bought medicines on a th  and it never delivered till now may th  i contacted the cs the shig service anything well at the end it refunded i still have money here and i dont know what to do i dont want to use this anymore trash "
"1816","ok"
"1817","mantap"
"1818","so helper"
"1819"," membantu  butuh obat  malam  makasi halodoc gomed   babang gojek jasa  tiada tara"
"1820"," membantu"
"1821","membantu "
"1822","good one"
"1823"," membantu"
"1824"," terbantu "
"1825","mengecewakan"
"1826","very hel and fast rese doctors analysis based on chat and ure but the diagnosis almost right"
"1827","transaksi sy dibatalkan sek  sdh ayaran refund nya gagal cek  internet trnyta dr thn  sdh   konsumen transaksi dibatalkan    refund samkaun halodoc  aasi utk org yg sakitmembutuhkanmenderita  diakukan si  balasan dr halodoc  maaf  ketidaknyamanannya mohon kesediaan menunggu mudahmudahn       tanda hasil refund"
"1828","mudah  membantu"
"1829"," komn barang cuman  kirim    kemana nih  chat gk muncul chat nya  telcs gk  angkat gimana sih"
"1830"," bagus  nyaman solusi akasi "
"1831","nyari ak nya   kejauhan"
"1832","good"
"1833","gercetuk antaran obatnya kota malang   tau   kota "
"1834"," error   konsultasi  dokter"
"1835","awesome"
"1836","you need to ime the ux  state  hilang  status nan ayaran dies tibatiba nan hilang     riwayat transaksi ah nan  ditolak  ayaran gagal  ai need more clear information diarahkan  hubungi cs no thanks    e make sure the drivers can read the note suka diomelin driver gara alamat    jelasjelas   tulis  note"
"1837","ok"
"1838","  halodoc  membantu "
"1839","membantu "
"1840"," disayangkan terkendala    ayaran   konsultasi   damengirimkan chat  on call    terkait elesaian masalahnyatim   x jam       merubah review   mendaan reslanjutan"
"1841","mudaaah kali"
"1842"," chat dokter   gagal  gatau kenadhl urgent udh x"
"1843","terima kasih   konsultasi  harga   dijangkau kaum menengah    membantu  semoga  bagus  kualitas  meningkat"
"1844","aasi   membantu keluarga"
"1845","very hell when you need some medicine in immediate time"
"1846","membantu "
"1847","membantu"
"1848","  membantu"
"1849"," membantu membeli obat tanarus ng mencari  setiaotik"
"1850","fast res and very hell in this emic situation"
"1851","bikin antment dg dokter susah  konfirmasi  ue statusnya  telat    atalan   reschedule    email dr cs halodoc bhw antment  cancel menunggu refund tamaaa skl refundnya  aikan lg aasi "
"1852","dokternya ramah konsultasi jga  terima kasih ya"
"1853","elasan dokternya  sayang  ga cukuma makasih halodoc"
"1854","bagus"
"1855","very hel a everyone should use this app"
"1856","membantu memudah mencari obat"
"1857","layanan "
"1858","what an useful asally when we are in need of health advices and medicines"
"1859","excellent"
"1860","pagi  halodoc   via teluntuk asalahan nya good i really aciate that "
"1861","mantab kali  yg hrs tinggl drumah  butuh obat "
"1862"," ama kali coba aasi  dokternya ramah "
"1863","i feel disanted cause i got the medicine with high e but the worst things it was nearly exd date theres no on to refund those medicine i s over k for nearly exd things so awful "
"1864","penggunaan aasi  mudahharga terjangkaudan resdari dokter cepat"
"1865"," ditingkatkan   lihan  sesuai  setuhasa  dii semoga    kedeya"
"1866","aasi   membantu   konsultasi online  dokter pesan obat   malam     membantu   terima kasih "
"1867","ease the health access indeed banyakin o nya yaa  ongkir obat "
"1868","ribet   resemua   beli obat ringan"
"1869","good acation"
"1870","enak banget konsultasi online saves my time"
"1871","aasinya berguna   beli obat sayangnya  gak suka   gambar raffi  nagita  deya"
"1872","good respon"
"1873","good "
"1874","terima kasih es  mudah disaat emi covid "
"1875","good apps"
"1876","mantab"
"1877","praktis  efisien"
"1878","nice app"
"1879"," membantu"
"1880","is it only me or halodoc is having too much error with delivery i exenced  issues within  week st one was the store canceled my order with no notif and no action taken afterward then i need to chat and call cs to get my transaction rehased nd due to the driver was not moving at all after hr being assigned turned out the driver was waaaaay too far from the store and ofc i needed to call the cs and only god knew when my meds would arrive"
"1881","nice and fast"
"1882"," membantu"
"1883","fast ressa konsul by e  han dokter obat   mahal"
"1884","semangat"
"1885","mantauka banget sm aa  membantu"
"1886","aduh gimana sih  chat dgn dokter  tkternya tdk tersedia  dicek status transaksi   selesai  dibatalkan   dokter  tersedia tolong kembalikan saldo secemungkin    butuh konsultasi     beberaari kedepan"
"1887","hel and easy"
"1888","i cant chat with my doctor the aays error loading the messages"
"1889","buruk   order obat sampe  belasan kali gagal   udah  metode pembayaran dipake tetep gagal  ga rekomendasi aplikasi     orang sakit  sakit"
"1890","good"
"1891"," membantu   akses  tenaga kesehatan  harga  terjangkau"
"1892","aasinya cukudah   elasan  cukulas"
"1893","dokternya  ramah  "
"1894","cs nya siganangani "
"1895","   kali  aasi   membantu  darurat  mudah  thanks halodoc"
"1896"," bayar   chattingan    darurat"
"1897","useful"
"1898","hel"
"1899"," membantu "
"1900","membantu"
"1901","mudah  sanan obat  berkomunikasi  dokter agi memesan layanan ratest rless serba online"
"1902","cebangettt ngebantu banget"
"1903"," obat habis   refund dananya   kesulitan   n obat   agi  butuh resedi  rumit   ud reseri halodoc  taalah rumit   otomatis cari alternatif tand  n ulang  terh ala stok  "
"1904","ok"
"1905","great auser friendly"
"1906"," membantu   kondisi emi  "
"1907","aasi  canggih   membantu god bless"
"1908","good aation"
"1909","pelayanan ok  saran   aknya  terdekat  tinggal  daerah cilandak taknya  sukmajaya de  yg butuh obat cetakut keburu  memburuk"
"1910","very useful even in a case of emergency awesome"
"1911","easy and convinient"
"1912","baguz bgt   chat  driver ribet krn g langsung dr aasi gojek mudahan bs   ude  memudah"
"1913","excellent easy for customer sally with ent metode bca virtual account"
"1914","aasi   membantu"
"1915"," mudah   membantu   konsultasi  dokter tanerkunjung  rs"
"1916","fitur  chat driver   oal   nerima nan   binggung cari drivernya"
"1917","good"
"1918","obat nya sgt ringan"
"1919","mantakternya cantik goks"
"1920","  ak yg  tambahan  din alasannya susah ue harga  aasi"
"1921","hebat   membantu"
"1922","awesome doctors"
"1923","mudah cemurah "
"1924","halodoc keren terhubung dgn asuransi"
"1925","so far bagus manjur  bahan  doggieku manjursangat menghemat waktubiaya  tenagatengkiuuu halodoc"
"1926","excellent aor healthness consultancy"
"1927","good"
"1928","hell"
"1929","really quick and simto use"
"1930"," membantu"
"1931","pesan jam   malam jam   besoknya  samjuga tarder   fibatalkan  bantuan robot  "
"1932"," membantu  transaksi obat"
"1933","praktis solusi    masyarakat semoga   yg  memanfaatkan nya sukses  halodoc"
"1934","halodoc benerbener  membantuketika   butuh obat  konsultasi dokterhalodoc  membantu cedan te pertahankan kecen  ketennya semoga   bagus  baikdan semoga   diskon nya "
"1935","setiaetik cari nama obat langsung tertulis coba  samkhirnya ga ngetik ascroll doang  error  ya allah tiaari obat yaa  begktu stress  "
"1936","very hel"
"1937"," aasi penghisap data adi  doang chatt konsul dokter gak berhasil saldo terng cs  no res  skali gak membantu  butuh konsul sm dokter fix   aasi hubung  dokter  aenghisakasi  data adi jg e wallet  not recommended scam app"
"1938","membantu  disaat liburan  raya"
"1939","  membantu disaat urgent best  knya"
"1940","good"
"1941","great"
"1942","nice exence"
"1943","bagus resdokternya cedan langsung terhubung  ak  jd lgsg n obat  booking test antigenswab  klinik mudah terima kasih utk harga konsultasi   murah  asebelah tn asuransi kantor bermitra  halodoc jd  skrg  srg alodoc"
"1944","nice doctor"
"1945","simity butkenausah ya bayar i mandiri"
"1946","oke banget"
"1947","aasi   resdokternya ce"
"1948","aplikasi gak jelass harga obat g sesuai sm tlpke halo doc yg  driver dijkt timurapotik  dkt jagakarsa trs dibawaa  sawangan batal pesen lg driver mati suri tlp mati sms mati kirain yg tlp si driver tau apotik nunggu  jam tau driver ga dtg namanya arfian maulana tlg halo doc kl ksh ref apotik bkn terbaik tp terdekat gak profesional"
"1949"," membantu  malam   libur dll"
"1950","search obat susah banget bug  coba   konsultasi  dokter jutek banget diagnosis salah  sakit mata  ditulis konsultasi  edukasi sayang banget  logistik iriman obatnya oke taelemedicinenya  membantu  sih mikir berhh kali kalo disuruh  "
"1951","pelayanan buruk konsultasi  dokter bayar  bayar dokter  meres saldo   dihubungi cs ga  yg respon"
"1952","aihell"
"1953","semoga  manfaat  "
"1954","good"
"1955","efisien cedan  rekomen  gejala ringan keseharian keseharan kluarga"
"1956"," x kecewa   dihubungkan dg salah  dokter  dokter  tdk mengkonfirmasi alhasil saldo  tetatarik taidak konsul     menambah biaya   konsul dg dokter "
"1957","  mudik  kam  sakit   halodoc   tetansul  dokter  mendaan reseng te"
"1958"," bandung  raya idul fitri  damemberikan service   athumbs up"
"1959","bugs  cek obat dikit langsung   salah coba  gimana beli obat cari obat aja kgk "
"1960","the worst worst app i ordered medicine for my mom it should be delivered instant within mins but i have been waiting for  hours and the status was still confirmed i tried to cancel but somehow it said your order has been confirmed and will be eed soon and keeying that i tried to use chat box but it was so useless it just auto reand did not hel at all i called the cs and everytime they said currently there are no free agent which can heluper waste time n money"
"1961","i got the necessary helmediately"
"1962","cebanget  obatnya   menjelang  raya idul fitri  melayani customer good job "
"1963","it used to be ok but i just had consultant with dr  no med no helne no e to score or comn or return the money i just delete my account and a star for wasting time and money"
"1964","obat  yg   dibeli bebas mendadak membutuhkan konsultasi dokter online  obat yg   dibeli    mendadak jumlahnnya dibatasi   dibeli   sanan beberaenis obat  dih   iriman terh   ongkos kirim x li algoritmanya kemaruk cari cuan"
"1965"," tis  memudahkan thank you halo doc "
"1966"," ue aasi tk  login  gagal kirim otp"
"1967"," disaat urgent"
"1968","lokasi bogor tmobatnya  dehal anak  lg demam tinggigawat routing oizernya "
"1969","excellent"
"1970","aasi ya mudah dii terimakasih"
"1971","n jam set  malam tgl  aeta set    may its okei ya tm  siang  may nan  dateng ga  notif  an   dies chat csnya  disuruh batalin krn ga nemu driver aneh bgt sum  obat lo kaitannya  kesahatan orang  kali  notif kalo ga nemu driver jd  cari alternatif   obat     kam    kota kirain aya  memudah  memeruh kacau"
"1972","cedan  membantu"
"1973","easy way to consult and get the recipe"
"1974","pemgalaman a susah  maauk ok  sems asa"
"1975","praktis  mudah"
"1976","komunikatif"
"1977","cant intall the ajust now"
"1978","saldo ketarik taa  chat dokter  gitu  make langsung ketemu  gini bikin kaye"
