"","klasifikasi","score","text"
"1483","Netral",0,"hel"
"1484","Positif",1,"terbaik disaat dibutuhkan  butuh ketak ketik"
"1485","Netral",0,"so far konsultasi isoman okay  tau gimana   reseikasih  rese   arui  thank you halodoc"
"1486","Netral",0,"very hellesally for those who forget to bring routine medicine when travelling just need less then  minutes from search to get delivered medicineawsome"
"1487","Netral",0,"good"
"1488","Netral",0,"very good and efficient delivery"
"1489","Netral",0,"usefull   membantu"
"1490","Netral",0,"good"
"1491","Positif",1,"bagus  n obat   informasi  aasi      kontak bantuan  langsung  nomor resi   mengecek irimannya"
"1492","Positif",1,"membantu banget   emi"
"1493","Positif",1," n obat via halodoc  obatnya nyasar  iriman   halodoc  hubungi k ak  bantu  follow uatnya berbelit  tanolusi  berkali  alamat  sesuai    elian  ama kali cs nya   hel"
"1494","Netral",0,"proses refund berbelit belit"
"1495","Netral",0,"aasi  mudah "
"1496","Positif",1,"resya cedan irimannya cepat"
"1497","Negatif",-1,"sayangnya  akun halodoc dana ga  dialihkan  rekening bank  go tolong dibantu asalahan "
"1498","Netral",0," membantu  berguna    hidu desa  beli obat online "
"1499","Positif",1,"solusi ceuntuk menghubungi dokter  membeli obat dokter tersedia jam    resetuk dibeli langsung"
"1500","Positif",1,"nice res dokter nya cebls  ramah"
"1501","Netral",0,"very good app"
"1502","Netral",0,"best awhen you in need of dire consultation"
"1503","Netral",0,"so good"
"1504","Negatif",-1," membantu  darurat chat dokter sgt informatif obat cesampai"
"1505","Netral",0," membantu dikala urgent sakit  blm bs langsung  dokter"
"1506","Netral",0,"mantaapp"
"1507","Positif",1,"cepat"
"1508","Netral",0," membantu dikala sakit  gak  kemanamana"
"1509","Negatif",-3,"eror bayar i wallet halodoc ribet aasi lemot obat yg  dicover asuransi eror    cek out setahun    i halodoc mengecewakan trnyata smskrg blm  aikan"
"1510","Netral",0,"kee the good work"
"1511","Netral",0,"rescedan "
"1512","Netral",0,"good service will use it again"
"1513","Positif",2,"terima kasih  berguna  "
"1514","Netral",0,"aasi   membantu utk mendaan informasi  saran dokter  kondisi yg sakit shg  diambil langkah  sbg bantuan  sblm dibawa  rs"
"1515","Negatif",-1,"cedan gak ribet"
"1516","Positif",1,"layanan cedokternya bagus"
"1517","Netral",0,"good avery hel"
"1518","Netral",0," membantu good"
"1519","Negatif",-2,"nge lag h liat han cek covid ga muncul ue t lbh jelek"
"1520","Netral",0,"helly"
"1521","Positif",1,"terbantu sekaliterima kasih"
"1522","Netral",0,"halodoc always saves the day "
"1523","Netral",0," membantu  agi  situasi covid sei "
"1524","Positif",1,"overall ok minus obat  direse    tersedia"
"1525","Netral",0," terbantu  berkonsultasi  dokter  ediaan obat  aasi halo doc"
"1526","Netral",0,"dokter  fast respon"
"1527","Netral",0,"good"
"1528","Positif",1,"pelayanan cepat"
"1529","Positif",1,"membantu  dokter ramah  mnejelaskan  "
"1530","Positif",2," dokter nggak  live chat biaya yg  ditarik nggak  murah sih  tarifnya tn    untungnya dokter alternatif  jd  hannya thx halodoc"
"1531","Netral",0,"customer service   membantu"
"1532","Netral",0,"good apps"
"1533","Netral",0,"mantap"
"1534","Netral",0,"dokternya  dgn   mudah dimengerti"
"1535","Negatif",-2,"daridulu seneng    gak ribet ralat bisabisa nya nan dibatalin taink va    udh masuk dananya  disuruh ngulangin edur dr    refund belanja  orang sakit nungguin obat ribet"
"1536","Positif",2,"error loading messages  notifikasi yg muncul internet  aman aasi sdh ng terue gosudah terng tetaidak  chat  dokternya  masuk chat room tetaaat send chat nya langsung   muncul notifikasi     berulang  unya taari cs nya disuruh menunggu x jam worst exer"
"1537","Negatif",-2,"not customer oriented dokter balas   sesi  tanahu kesimn  obat yg  diminum kontak customer service  disuruh ya konsul  aja its not about the money tats unfinished service"
"1538","Netral",0,"good"
"1539","Netral",0,"mantap"
"1540","Netral",0,"one stoalth solutions"
"1541","Netral",0,"mantaap"
"1542","Positif",2,"bagus tis bermanfaat tdk u keklinik  rumah sakit    sakit"
"1543","Netral",0,"easy to use"
"1544","Positif",2,"terima kasih utk dr salis kulit dr jessica tania layanan cedan  mudahan anak  cereda jerawatannya"
"1545","Positif",1,"dokternya  fastres obatnya  langsung  kasih ayaran  mudah "
"1546","Negatif",-1,"dokter mata cynthia sgt membantu  resive pengiriman obatsangat cediterima mantul"
"1547","Netral",0,"  berguna  membantu  "
"1548","Positif",1," membantu klo lgi urgent butuh  konsultasi kesehatan"
"1549","Netral",0,"terbantuuu "
"1550","Netral",0,"siembantu  kondisi urgent"
"1551","Netral",0,"baikinformatif"
"1552","Netral",0," membantu   membelikan obat  anak yg  sekolah  kota"
"1553","Positif",1,"transaksi  debit  chat  dokter taokternya  aktif  dibatalkan otomatis keterangannya embalian dana  otomatis masuk menunggu   kerja taamham    embalian   menyesal mengggunakan aplikasi "
"1554","Netral",0,"package ok pengiriman ce mantaank you halodoc"
"1555","Negatif",-1," membantu  memiliki keluhan akit  konsultasi  dokter nya langsung "
"1556","Negatif",-2," membantu  mencari obat diwaktu urgen  ga   rumah harga kadang  mahal taasih wajar taadang  murah  konsultasi dokter online  membantu  harga konsultasi  murah  ribuan"
"1557","Netral",0,"good easy to use"
"1558","Netral",0,"hell    sakit  malam halodoc siatar obat dr ak  jam"
"1559","Negatif",-1,"kesulitan menemukan tombol   feedback  dokter yg  dihubungi sisanya ok"
"1560","Netral",0,"solusi dokter dimasa emi"
"1561","Netral",0,"i like this acation since there is on to choose instant delivery in  minutes"
"1562","Netral",0,"ok  harganya leboh terjangkau dr aasi "
"1563","Negatif",-1,"puter kota solo  jogja cr obat   kf ato k g nemu obat yg  tgl klik halodoc  lsg kirim terimakasih halodoc skrg g u r cr obat tgl idulocation maiver didaan  lsg krm smujuan"
"1564","Positif",1,"    i kemudahan masuk nya mudah  menurutku    ditingkatkan  amn informasi  konseling   bingung   konsultasi  coba telekonselornya tetaidak diangkat    konselor bilang   menerima televideocall  sisiitu  kecewa   taman informasi      booking   ditingkatkan  informasi layanan  diterima konselor"
"1565","Netral",0,"exelent"
"1566","Netral",0,"   cek ak  dituliskan  ak    ocustomer  cariambil obatnya  ala ak nya dirasa    diambil  kurirojol nya"
"1567","Netral",0," susah bernavigasi   shog cart taerhasil jg konsul  beli obat sesuai resegital"
"1568","Netral",0,"wrong order sent told consumers to wait u x hours but to no avail the lem is in the acation and catalog view bastard return my money "
"1569","Positif",3," kebutuhan   membantu  konsultasi  ala durasi chat konsul  dokter   han  en     lg  baiknya konsul chat  biaya rb keatas durasi konsul  dibataskan    konsul membutuhkan   mengetik  take   balasan dokter blm  ce attachment foto dokumen tolong ditingkatkan  krn   crash klo ditmbah attach vidvn    memudahkan berkonsultasi"
"1570","Netral",0,"good dokter"
"1571","Netral",0,"mantawaaaaa"
"1572","Negatif",-2,"ribet layanan cs  lambat   normatif tna elesaian yg  membantu"
"1573","Netral",0,"mudah  gunanya"
"1574","Netral",0,"cet bgt"
"1575","Negatif",-1,"ga  konsul ud byar"
"1576","Netral",0,""
"1577","Netral",0,"unsolved bugs since weeks ago cant search medical services"
"1578","Positif",1," coba halodoc so far  ku memudah bgt   konsultasi dgn dokter via chat samkan elian obat jg  maju  utk halodoc"
"1579","Netral",0,"goodss"
"1580","Netral",0,"very hel and user friendly apps"
"1581","Positif",1," membantu ramah  informatif"
"1582","Netral",0,"good"
"1583","Netral",0," membantuuu"
"1584","Netral",0,"good"
"1585","Netral",0,"driver   dihubungi  bawa i obat   lunas dibeli"
"1586","Netral",0,"great ui ux"
"1587","Netral",0,"bolak  dicancel order  n obat sesuai resealau  ga siastan gt mending realistis aja sih drutuh gn smlak  cancel"
"1588","Negatif",-2," cari test covid kenaoading  ga  hasil ariannya   ue apps"
"1589","Positif",2,"membantu sekalii disaat urgent terima kasih"
"1590","Netral",0,"good apps"
"1591","Positif",3," membantu konsultasi  dokter n obat  instan terima kasih halodoc semoga  ditingkatkan  yanannya  iriman obat  instan  "
"1592","Netral",0,"good aation"
"1593","Netral",0,"user friendly"
"1594","Netral",0,"konsultasi mudah  cukumbantu"
"1595","Positif",1,"overall  membantu tairiman   gojek dimana layanannya  bagus   oiriman    obat samdi temdah  hilang"
"1596","Positif",1," ue terbaru arian     ditunggu  menit gak  aaunanya diue"
"1597","Netral",0,"fastest rese easy to use two thumbs up"
"1598","Netral",0,"cant even login got the code and working internet connection but it always says no internet connection tried again it changes to exd code although the timer hasnt exd yet"
"1599","Netral",0," mantalodoc bs dicover asuransi "
"1600","Netral",0,"mantap"
"1601","Netral",0,"the uiux is the best halodoc hele a lot looking for online hologistshiatrists"
"1602","Netral",0,"good  membantu disaat mager"
"1603","Positif",2,"terima kasih  mudah  aasi halodoc "
"1604","Netral",0,"very hell"
"1605","Netral",0,"dokter slow resjawaban seadanya"
"1606","Netral",0,"fast delivery"
"1607","Netral",0," membantu"
"1608","Netral",0," membantu   aasi  "
"1609","Netral",0,"tolong aiki bugs  ent  gopay"
"1610","Netral",0,"hell nice doctor easy to get medicine"
"1611","Netral",0,"very nice exence"
"1612","Netral",0,"laian  dr   berdasarkan bintangjgn berdasarkan like or dislike"
"1613","Netral",0,"nice consultation"
"1614","Positif",1," mudah memesan obat   konsultasi  mudah murah  bermanfaat thx halodoc"
"1615","Negatif",-1," membantu disaat terdesak  mendadak"
"1616","Netral",0,"the doctors are very hel thanks halodoc i can consul with doctor anytime"
"1617","Netral",0,"good"
"1618","Netral",0," membantu"
"1619","Netral",0,"useful"
"1620","Netral",0,"very usefull a"
"1621","Netral",0,"nice"
"1622","Netral",0,"good"
"1623","Netral",0,"good app"
"1624","Netral",0,"hel"
"1625","Netral",0,"good app"
"1626","Netral",0,"easy to use"
"1627","Positif",1,"beli obat yg  rese  bayar  konsultasi gratis tarror  error loading message"
"1628","Positif",1,"konsultasinya cedan cukumberikan gambaran nganan terhadandisi kesehatan   "
"1629","Netral",0,"aasinya  membantu"
"1630","Positif",1,"so far  memudahkan  konsultasi tanarus dtg  dokter   ak"
"1631","Netral",0," bayar  konsultasi  dokter tagebug gak  dii error loading message samberakhir h"
"1632","Positif",1," membantu cukuektif  efisien"
"1633","Netral",0,"awesome"
"1634","Netral",0,"sangattttt membantu akses terhadakter jd affordable  desega tis the best dah halodoc thank u for being a blessing for les lives"
"1635","Netral",0,"aplikasi jelek  sedikitpun direkomendasi  digunakanuntuk alian menyuruh  hubungi call center  ngabisib a  knya   merekomendasikan aplikasi   "
"1636","Netral",0," membantu  memudah"
"1637","Netral",0,"praktis  mudah  halodoc jd olongan ama  sakit  agi bs dihubungkan dgn asuransi profil dokternya  detil terimakasih halodoc"
"1638","Netral",0,"best"
"1639","Netral",0,""
"1640","Positif",3,"membantu   butuh konsultask cedokter  hel aasi stabil terima kasih "
"1641","Netral",0,"good ao find medicine within city "
"1642","Netral",0,"good app"
"1643","Netral",0," membantu"
"1644","Netral",0," membantu  n obat pcr  konsultasi dokter  "
"1645","Netral",0," membantu   berobat tairumah aja"
"1646","Netral",0,"semoga kedeya   obeli  bbrotek krn kalo chat  doctor  mesen obat suka  yg losing maybe kalo  h lokasi ak   lengkali obat yg diresedokternya"
"1647","Netral",0,"hallodoc  membantu   konsul dokter mauuntuk elian obatvitamin"
"1648","Netral",0,"this aeally helyou are able to consult with a real doctor trough this app"
"1649","Netral",0," membantu"
"1650","Netral",0,"  recomended   lambat mengatasi    anak  sdh butuh bgt obat  mlm "
"1651","Negatif",-1,"simlengkaod taembayaran  gosuka gagal u coba beberaali semoga dadiaiki"
"1652","Netral",0,"resif  akurat"
"1653","Netral",0,"the best healthcare ao far i had my first consultation at  and order my medicines at  and got them at  thank you halodoc"
"1654","Netral",0,"oke "
"1655","Positif",3,"mudah resya cedan lumayan  terima kasih"
"1656","Netral",0,"cool"
"1657","Positif",3," bermanfaat   sakit covid   konsul dgn dokter yanannya bagus  setiaya butuh beli obat an  beli  ahalodoc  cinta banget  aini"
"1658","Positif",3,"pelayanan konsultasi dokter  online  terbantu dokter nya  informatif alhamdulillah  terima kasih "
"1659","Negatif",-1,"sakit ga u  klinik cukuka aasi aja"
"1660","Netral",0," tersambung  aasi insurance   membantu"
"1661","Netral",0,"nunggu obatnya dikirim berjam jam"
"1662","Netral",0,"the chat feature can give me the iminary exam on my wound if it goes bad then i can decide to go to hosl to see the doctor"
"1663","Netral",0," membantu  sakit  malam weekend  libur nasional  lg males ngatri berobat  rs or klinik"
"1664","Netral",0,"very good aation"
"1665","Netral",0,"aasi busuk uang nyangkut  kesalahan aasi elian dibatalkan toko es rikan   belom cair"
"1666","Positif",1,"pesan obat  ak  dibatalkan sek  ak  urus refund taagal  gak  fitur chat utk konfirmasi  nggan  ak"
"1667","Netral",0,"membantu      keamanan obat  dokter "
"1668","Positif",1,"pelayanan cepat"
"1669","Negatif",-1," membantu disaat urgent mautidak  solusi  saran  dokter god bless orang "
"1670","Netral",0,"berguna    semi  dokter"
"1671","Negatif",-1,"menu bantuannya menyebalkan dir  robot"
"1672","Netral",0," membantu"
"1673","Positif",2," membantu terima kasih"
"1674","Negatif",-1,"gila sih tmbh baguss"
"1675","Netral",0,"user friendly"
"1676","Netral",0,"rescepet"
"1677","Netral",0,"mudah ce mantaaap"
"1678","Positif",1,"makasih halodoc terbantu banget "
"1679","Netral",0,"quick pt"
"1680","Positif",1," bermanfaat  membantu "
"1681","Positif",5,"very hel agi   emi bgini bs connect jg  insurance klo utk keluhan yg common utk konsul  dokter aasi  sungguh menghemat   tenaga cocok utk olongan ama  saran aikan mgkn  menu dokter u  menu koreksi reseg  en tdk menemukan  obat yg tersedia  ak    diganti dgn obat seruleh doktr  bs mengedit reselm chat  thx"
"1682","Netral",0,"bermanfaat  membeli obat utk orang   sayangi waladalam kondisi jarak "
"1683","Positif",1,"dokternya alan enak diajak diskusi"
"1684","Netral",0," membantu  mudah "
"1685","Netral",0,"mantap"
"1686","Negatif",-1,"ngehang terusssss   ditengah konsultasi rugi gw udah bayar develobalikin duit gw fix this"
"1687","Netral",0,""
"1688","Positif",1,"layanan terbaik"
"1689","Netral",0,"good and useful apps"
"1690","Netral",0,"fast"
"1691","Positif",1,"access  dokter cepat"
"1692","Negatif",-1," membantu  membeli obat     ak  rumah taengiriman instan   mnt "
"1693","Netral",0,"hell app"
"1694","Netral",0,"dokternya   berkomn"
"1695","Netral",0,"hel"
"1696","Positif",2," bgt konsultasi  dokter  halodoc ramah dokternya   kasi resegital cocok bgt  sy yg a anak  thank u halodoc"
"1697","Netral",0,"dokter good rese hell"
"1698","Netral",0,"really hel moreover during emic  thank you"
"1699","Netral",0,"good"
"1700","Netral",0,"sdh beberaari ayaran  gagal  beli obat virtual account maudebit pake fitur bantuan jg sia yg  bot  manusia  sy  beli obat  halodoc   gini ya"
"1701","Netral",0,"sometimes rather slow"
"1702","Netral",0,"praktis  efektif"
"1703","Netral",0," delivery obat  kaian audah"
"1704","Positif",4,"fitur konsutasinya bagus taayang kadang nebus obat  aasi  sulit n beberaali batal    coba beberaetode ayaran lumayan  uang  ribu nyangkut  halodoc    diuangkan "
"1705","Netral",0,"grateful"
"1706","Positif",1,"aasi halodoc  membantu  mebutuhkan obat darurat agi   berjauhan dgn keluarga jd  bs mengirimkan obat darimana   terdaketidaknyamanan yg sy rasakan   tdk bs memilih ak terdekat dgn temtujuan    menunggu   ak yg dih   mgkn bs dikembangkan olihan ak terdekat   bs menyesuaikan kebutuhan obat yg tersedia  ak terdekat"
"1707","Netral",0,"unreliable ner and their customer service doesnt have cality to solve the lem"
"1708","Netral",0,"its really good and convenient"
"1709","Positif",3,"dokternya  fast resdi kasih rese  harga terbaik driver yg antarnya  ramah  bilang  cesembuh ya bu  moodbooster banget"
"1710","Netral",0,"fast rese"
"1711","Negatif",-2,"membantu dikala  bingung ga bs kluar rmh utk nyamn dokter"
"1712","Netral",0,"first imsion is great"
"1713","Positif",1,"dokter  ramah  "
"1714","Negatif",-2,"pembayaran ganda  rumah sakit   aasi   elesaian   minggu aasi android ama yg bermasalah   ayaran aasi u aikan   konsultasi  dokter"
"1715","Netral",0,"bayar i bca virtual account ngga "
"1716","Netral",0,"very hel"
"1717","Positif",2,"koneksi aasinya ngga stabil error uding messages  sy coba beberaali chat dokter gagal  tsy  keng  utk tarif dokternya ngerugiin banget  tarif ayaran ding  konsultasi berhasil donk "
"1718","Netral",0," membantu"
"1719","Negatif",-1," membantu dikala darurat  siana digital gojek linkaja"
"1720","Netral",0,"hell"
"1721","Netral",0,"would give  star but aeeading va"
"1722","Positif",1,"mantab"
"1723","Netral",0,""
"1724","Positif",2,"memudahkan konsultasi  dokter  biaya  terjangkau   han dokter"
"1725","Negatif",-1,"error   salah   browse uk medis"
"1726","Netral",0,"hel fast rese dokternya  very user friendly "
"1727","Negatif",-1,"very hel kalo anak sakit  tgl merah   minggu suka bingung terbantu banget   halodoc cari obat  gak susah   ojol yg nganterin puas banget knya"
"1728","Positif",1,"bagus"
"1729","Negatif",-1," seller canceled order  uang  otomatis refund  chat      buatkan lan   kerja    refund  gak kom ya  yg ga balek kl dr alaman   aasi "
"1730","Netral",0,"tolong es claim asuransi manulife rawat jalan cashless diaiki nunggu  rs  jam    k asuransi "
"1731","Netral",0,"  bug   n salegal   es loo mohon diaiki "
"1732","Netral",0,"u"
"1733","Netral",0,"easy and hel"
"1734","Netral",0,"good "
"1735","Netral",0,"very hel a thank you"
"1736","Netral",0,"should have a menu where we can download doctor diagnosis for reimbursement ess edit adding  star because cs customer centric attitude"
"1737","Netral",0,"i have been trying to order the usual meds for my mom and dad for days and it keeiving me error messages chat box is useless as i couldnt get any answer for hours as well  fix your app"
"1738","Netral",0,"terbantu "
"1739","Netral",0,"swift service and delivery"
"1740","Netral",0,"mantap"
"1741","Netral",0,"good apps"
"1742","Positif",1,"pilihan lokasi ak nya kerali   lokasi "
"1743","Netral",0,"dokter ny g ramah aasi ng bug"
"1744","Netral",0,"good"
"1745","Netral",0,"delivered in  minutes good job thank you"
"1746","Netral",0," membantu "
"1747","Positif",2," coba  beli obat tebus resekter cebgt  bener nyaman dii alhamdulillah ketemu aasi yg  membantu  kee ulodoc"
"1748","Positif",2,"alhamdulillah bermanfaat bnget"
"1749","Netral",0,"thanks so much halodoc  membantu utk konsul dokter  beli obat gak bs   rumah semoga bernilai la utk develonya"
"1750","Positif",1,"ok banget"
"1751","Netral",0,"aasi yg terhubung dilayanan wa ngak   mencurigakan   data adi  bersifat  rahasia"
"1752","Positif",1,"ngebantu banget   dokternya  obatnya"
"1753","Netral",0,"  kaun"
"1754","Negatif",-1,"bu dokter sabar bget melayani sy sekaliada sdkt g m tnjelasan ya  detail  ditangkan org awam sy mksh dok"
"1755","Netral",0,"membantu  kalo  urgent  dokternya  oke"
"1756","Netral",0,"easy and very useful"
"1757","Netral",0,"   konsul nya"
"1758","Netral",0,"  coba tah  ka konsultasi batal  dokter sibuk tng gak langsung direfund  gak  langsung dii reschedule  dokter   to  udah   cs  tunggu    tetak darefund disuruh menghubungi bank rbitnya i kode arn   niatnya i layanan online tuh biar hemat   tenaga  ujungnya   yg ngehubungi bank ya  aja caya dah  ikhlas aja duit rb ilang "
"1759","Netral",0,"good"
"1760","Netral",0,"its okay"
"1761","Netral",0,"praktis"
"1762","Netral",0," terbantu  beli obat bulanan  konsul"
"1763","Positif",2,"dilayani  ce terima kasih halodoc"
"1764","Netral",0,"good"
"1765","Netral",0,"good a very hell"
"1766","Positif",1,"pengiriman obatnya skr  cetelevonsul nya jg enak taekurangannya cuman susah   sharing gejala   dokter  terima  chat"
"1767","Netral",0," membantu terimakasih"
"1768","Netral",0,"best apps"
"1769","Positif",2," elian obat  toko kesehatan u obat buru beli  tgl merah  datengnya cebanget bagus"
"1770","Netral",0,"hel"
"1771","Negatif",-1,"nice aisa konsultasi  dokter teraya  daresekaligus  diantar  rumah"
"1772","Positif",2," order obat i virtual account  bayar berhasil    aasi orderannya hilang cek  riwayat    ayaran berhasil  ngak  refund "
"1773","Negatif",-2,"nan obat  samdan yanan keluhan  buruk  obat  direse  urgent   membeli  aasi"
"1774","Netral",0,"aasi   diukan   sy   i jasa halodoc  membeli obat  vitamin  bbrli mencoba konsultasi online dgn dokter jg  membantu"
"1775","Netral",0,"terimakasih"
"1776","Netral",0,"n obat seharian ga dikirim udah butuh banget  dibalas  bantu batalkan  babisa beli "
"1777","Positif",1,"trimakasih solusi sehat  efektif  efisien yaa  halodoc"
"1778","Netral",0,"usefull and bendy"
"1779","Negatif",-1,"bad service yanan lambat lihan ak     lokasi iriman"
"1780","Netral",0,"puas  advise dokternya"
"1781","Netral",0,"very hell ato get doctor advise when in emergency condition"
"1782","Netral",0,"so bad"
"1783","Netral",0," membantu "
"1784","Netral",0," membantu    males antre  dokter  "
"1785","Netral",0,"this aeally helme im so thankful in this occasion"
"1786","Netral",0,"great"
"1787","Netral",0,"cebanget resbaik"
"1788","Positif",1,"dokternya terbaik fast resjuga"
"1789","Netral",0,"praktis"
"1790","Netral",0,"aangat membantu"
"1791","Netral",0,"sgt membantu  u adoker  darurat mudah  cepat"
"1792","Netral",0,"loading "
"1793","Negatif",-3," membantu  konsultasi  mudah kaun  dimanaemat   dokternya  membantu  sei  konsultasi tatakaes cebat  diantar samrumah cukununggu  jam  kesekian kali i aasi    emi  khawatir utk  rumah  rumah sakit dgn kerumunan orangthanks halodoc"
"1794","Netral",0,"hell"
"1795","Netral",0,"user friendly"
"1796","Negatif",-1,"salah  obat yg  dibeli    n  digubris  adminnya"
"1797","Netral",0,"very easy to use great app"
"1798","Netral",0,"how to give tir credit to courier  driver "
"1799","Positif",1,"mantab"
"1800","Netral",0,"hell"
"1801","Netral",0,"goops"
"1802","Positif",1,"fast ressekali dokter  chat   membantu setiansultasi  ak yg terkait  ceirimannya tersambung  dgn asuransi mantab terimakasih halodoc"
"1803","Netral",0," membantu"
"1804","Netral",0,"from consulting via chat with doctor to medicine delivery everything went very smooth delivery only took about  minutes good job halodoc for iding good service"
"1805","Netral",0,"hell"
"1806","Netral",0," kenai halodoc dr   batalin mulu refand lamaaa "
"1807","Netral",0,"berguna "
"1808","Positif",1,"aasi mudah  memudahkan good job"
"1809","Netral",0,"betah i halodoc mudah    membantu"
"1810","Negatif",-1,"  n obat  halodoc  aasi obatnya tersedia taetelah ojolnya  ak  obatnya kosong     n obat  halodoc   ojolnya  ak k aknya bilang harga obat  halodoc  harga obat  ak berbeda"
"1811","Netral",0,"membantu"
"1812","Negatif",-1,"membantu   jarang  rumah  hidundiri"
"1813","Positif",1,"hel banget  mencari tau akit   mendareseat  sesuai  keluhan   cedan teedbd"
"1814","Positif",3,"bagus banget aa dokternya  cekatan  fast resbanget"
"1815","Netral",0,"worst service ever i bought medicines on a th  and it never delivered till now may th  i contacted the cs the shig service anything well at the end it refunded i still have money here and i dont know what to do i dont want to use this anymore trash "
"1816","Netral",0,"ok"
"1817","Netral",0,"mantap"
"1818","Netral",0,"so helper"
"1819","Positif",1," membantu  butuh obat  malam  makasi halodoc gomed   babang gojek jasa  tiada tara"
"1820","Netral",0," membantu"
"1821","Netral",0,"membantu "
"1822","Netral",0,"good one"
"1823","Netral",0," membantu"
"1824","Netral",0," terbantu "
"1825","Negatif",-1,"mengecewakan"
"1826","Netral",0,"very hel and fast rese doctors analysis based on chat and ure but the diagnosis almost right"
"1827","Positif",1,"transaksi sy dibatalkan sek  sdh ayaran refund nya gagal cek  internet trnyta dr thn  sdh   konsumen transaksi dibatalkan    refund samkaun halodoc  aasi utk org yg sakitmembutuhkanmenderita  diakukan si  balasan dr halodoc  maaf  ketidaknyamanannya mohon kesediaan menunggu mudahmudahn       tanda hasil refund"
"1828","Netral",0,"mudah  membantu"
"1829","Positif",1," komn barang cuman  kirim    kemana nih  chat gk muncul chat nya  telcs gk  angkat gimana sih"
"1830","Positif",2," bagus  nyaman solusi akasi "
"1831","Netral",0,"nyari ak nya   kejauhan"
"1832","Netral",0,"good"
"1833","Negatif",-1,"gercetuk antaran obatnya kota malang   tau   kota "
"1834","Netral",0," error   konsultasi  dokter"
"1835","Netral",0,"awesome"
"1836","Negatif",-2,"you need to ime the ux  state  hilang  status nan ayaran dies tibatiba nan hilang     riwayat transaksi ah nan  ditolak  ayaran gagal  ai need more clear information diarahkan  hubungi cs no thanks    e make sure the drivers can read the note suka diomelin driver gara alamat    jelasjelas   tulis  note"
"1837","Netral",0,"ok"
"1838","Netral",0,"  halodoc  membantu "
"1839","Netral",0,"membantu "
"1840","Negatif",-1," disayangkan terkendala    ayaran   konsultasi   damengirimkan chat  on call    terkait elesaian masalahnyatim   x jam       merubah review   mendaan reslanjutan"
"1841","Netral",0,"mudaaah kali"
"1842","Negatif",-1," chat dokter   gagal  gatau kenadhl urgent udh x"
"1843","Positif",4,"terima kasih   konsultasi  harga   dijangkau kaum menengah    membantu  semoga  bagus  kualitas  meningkat"
"1844","Netral",0,"aasi   membantu keluarga"
"1845","Netral",0,"very hell when you need some medicine in immediate time"
"1846","Netral",0,"membantu "
"1847","Netral",0,"membantu"
"1848","Netral",0,"  membantu"
"1849","Netral",0," membantu membeli obat tanarus ng mencari  setiaotik"
"1850","Netral",0,"fast res and very hell in this emic situation"
"1851","Netral",0,"bikin antment dg dokter susah  konfirmasi  ue statusnya  telat    atalan   reschedule    email dr cs halodoc bhw antment  cancel menunggu refund tamaaa skl refundnya  aikan lg aasi "
"1852","Positif",2,"dokternya ramah konsultasi jga  terima kasih ya"
"1853","Netral",0,"elasan dokternya  sayang  ga cukuma makasih halodoc"
"1854","Positif",1,"bagus"
"1855","Netral",0,"very hel a everyone should use this app"
"1856","Netral",0,"membantu memudah mencari obat"
"1857","Netral",0,"layanan "
"1858","Netral",0,"what an useful asally when we are in need of health advices and medicines"
"1859","Netral",0,"excellent"
"1860","Netral",0,"pagi  halodoc   via teluntuk asalahan nya good i really aciate that "
"1861","Positif",1,"mantab kali  yg hrs tinggl drumah  butuh obat "
"1862","Positif",1," ama kali coba aasi  dokternya ramah "
"1863","Netral",0,"i feel disanted cause i got the medicine with high e but the worst things it was nearly exd date theres no on to refund those medicine i s over k for nearly exd things so awful "
"1864","Positif",1,"penggunaan aasi  mudahharga terjangkaudan resdari dokter cepat"
"1865","Positif",2," ditingkatkan   lihan  sesuai  setuhasa  dii semoga    kedeya"
"1866","Positif",2,"aasi   membantu   konsultasi online  dokter pesan obat   malam     membantu   terima kasih "
"1867","Netral",0,"ease the health access indeed banyakin o nya yaa  ongkir obat "
"1868","Netral",0,"ribet   resemua   beli obat ringan"
"1869","Netral",0,"good acation"
"1870","Positif",2,"enak banget konsultasi online saves my time"
"1871","Negatif",-1,"aasinya berguna   beli obat sayangnya  gak suka   gambar raffi  nagita  deya"
"1872","Netral",0,"good respon"
"1873","Netral",0,"good "
"1874","Positif",3,"terima kasih es  mudah disaat emi covid "
"1875","Netral",0,"good apps"
"1876","Positif",1,"mantab"
"1877","Positif",1,"praktis  efisien"
"1878","Netral",0,"nice app"
"1879","Netral",0," membantu"
"1880","Netral",0,"is it only me or halodoc is having too much error with delivery i exenced  issues within  week st one was the store canceled my order with no notif and no action taken afterward then i need to chat and call cs to get my transaction rehased nd due to the driver was not moving at all after hr being assigned turned out the driver was waaaaay too far from the store and ofc i needed to call the cs and only god knew when my meds would arrive"
"1881","Netral",0,"nice and fast"
"1882","Netral",0," membantu"
"1883","Netral",0,"fast ressa konsul by e  han dokter obat   mahal"
"1884","Netral",0,"semangat"
"1885","Positif",1,"mantauka banget sm aa  membantu"
"1886","Positif",2,"aduh gimana sih  chat dgn dokter  tkternya tdk tersedia  dicek status transaksi   selesai  dibatalkan   dokter  tersedia tolong kembalikan saldo secemungkin    butuh konsultasi     beberaari kedepan"
"1887","Netral",0,"hel and easy"
"1888","Netral",0,"i cant chat with my doctor the aays error loading the messages"
